Nazione,Totale,Idroelettrico,Solare,Eolico,Geotermico,Biomassa,Rifiuti,Nucleare,Gas,Carbone
Norvegia,80558.0,34600.0,9.0,5133.0,0.0,14.0,92.0,0.0,473.0,0.0
Svezia,82700.0,16300.0,3200.0,16700.0,0.0,0.0,0.0,6900.0,0.0,0.0
Polonia,85345.0,2382.0,14282.0,9628.0,0.0,678.0,0.0,0.0,5424.0,26235.0
Germania,379102.0,14561.0,76601.0,68297.0,54.0,8577.0,1808.0,0.0,37512.0,31329.0
Danimarca,18742.0,0.0,3730.0,7506.0,0.0,0.0,0.0,0.0,0.0,0.0
Paesi Bassi,88313.0,38.0,24261.0,10790.0,0.0,415.0,786.0,486.0,18351.0,4006.0
Belgio,41468.0,1494.0,8789.0,5315.0,0.0,731.0,384.0,3929.0,6995.0,0.0
Francia,208406.0,25450.0,17419.0,23617.0,2.0,1403.0,968.0,61370.0,13133.0,1812.0
Spagna,196335.0,20344.0,23867.0,30159.0,0.0,708.0,546.0,7117.0,29873.0,3223.0
Portogallo,38486.0,8192.0,1811.0,5358.0,0.0,681.0,0.0,0.0,4433.0,0.0
Svizzera,29178.0,13104.0,0.0,0.0,0.0,0.0,0.0,2970.0,0.0,0.0
Austria,48936.0,11821.0,7294.0,4021.0,0.0,549.0,80.0,0.0,4225.0,0.0
Repubblica Ceca,32178.0,2278.0,3548.0,342.0,0.0,410.0,100.0,4040.0,1620.0,8400.0
Ungheria,14815.0,61.0,3888.0,325.0,3.0,214.0,49.0,1916.0,3161.0,829.0
Slovenia,8365.0,1305.0,1110.0,3.0,0.0,43.0,6.0,696.0,756.0,1191.0
Croazia,8893.0,2155.0,190.0,1137.0,10.0,114.0,6.0,0.0,886.0,217.0
Bosnia - Erzegovina,8362.0,2148.0,30.0,135.0,0.0,0.0,0.0,0.0,0.0,1883.0
Macedonia,3519.0,644.0,0.0,37.0,0.0,7.0,0.0,0.0,251.0,824.0
Serbia,20984.0,3179.0,29.0,646.0,0.0,2.0,32.0,0.0,607.0,6011.0
Montenegro,1954.0,649.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,210.0
Italia,176921.0,22089.0,5927.0,11681.0,868.0,1543.0,670.0,0.0,47228.0,5583.0
Irlanda,14903.0,508.0,0.0,1919.0,17.0,0.0,0.0,0.0,4265.0,855.0
Albania,4601.0,2203.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
